,Player,Season,AGE,GP,PTS,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,LENGTH,AAV
988,Mike Condon,2017,27.0,41.0,0.0,13.0,3.0,10.0,76.9,38.0,19.0,14.0,6.0,96.0,1122.0,1026.0,0.914,2.48,5.0,6.8,2324.0,19.0,7.0,3,2400000.0
1009,Peter Budaj,2017,34.0,60.0,1.0,13.0,7.0,6.0,46.2,55.0,30.0,21.0,3.0,120.0,1414.0,1294.0,0.915,2.18,7.0,8.6,3308.0,32.0,7.0,2,1025000.0
1021,Ben Bishop,2017,30.0,54.333333333333336,2.6666666666666665,20.666666666666668,6.666666666666667,14.0,66.93333333333334,51.66666666666666,32.666666666666664,13.666666666666666,5.0,122.0,1426.6666666666667,1304.6666666666667,0.914,2.393333333333333,3.0,8.566666666666666,3087.0,28.33333333333333,7.333333333333333,6,4916666.0
1026,Scott Darling,2017,28.0,20.0,0.0,5.666666666666667,0.3333333333333333,5.333333333333333,88.89999999999999,17.666666666666668,12.0,4.333333333333333,1.6666666666666667,40.333333333333336,571.6666666666666,531.3333333333334,0.932,2.0933333333333333,1.3333333333333333,4.466666666666667,1118.3333333333333,12.333333333333334,0.3333333333333333,4,4150000.0
1044,Michal Neuvirth,2017,29.0,30.666666666666668,0.0,14.0,6.0,8.0,66.66666666666667,29.33333333333333,8.333333333333334,17.0,3.0,82.66666666666667,906.6666666666666,824.0,0.9063333333333334,2.9266666666666663,0.0,4.833333333333333,1688.0,14.0,4.0,2,2500000.0
1053,Alex Stalock,2017,29.0,22.0,0.0,12.0,5.0,7.0,58.3,19.0,8.0,9.0,2.0,54.0,553.0,499.0,0.902,2.62,2.0,2.5,1237.0,10.0,1.0,2,650000.0
1054,Thomas Greiss,2017,31.0,30.33333333333333,0.3333333333333333,10.333333333333334,4.0,6.333333333333333,63.76666666666667,28.33333333333333,14.666666666666666,10.0,3.6666666666666665,75.33333333333333,848.3333333333334,773.0,0.9096666666666668,2.623333333333333,1.0,4.8,1710.3333333333333,15.333333333333334,5.0,3,3333333.0
1057,Al Montoya,2017,31.0,19.666666666666668,0.6666666666666666,4.0,3.0,1.0,16.666666666666668,14.666666666666666,6.666666666666667,6.666666666666667,2.6666666666666665,49.333333333333336,491.6666666666667,442.3333333333333,0.8986666666666667,2.8966666666666665,0.6666666666666666,2.1,1026.3333333333333,8.0,2.6666666666666665,2,1062500.0
1091,Jhonas Enroth,2016,28.0,42.66666666666666,0.0,17.0,1.0,16.0,86.10000000000001,38.0,13.333333333333334,23.0,3.0,121.33333333333331,1280.6666666666667,1159.3333333333333,0.9063333333333334,2.9866666666666664,1.3333333333333333,6.266666666666667,2414.0,18.0,5.666666666666667,1,750000.0
1101,Petr Mrazek,2016,24.0,29.0,0.0,18.0,6.0,12.0,66.7,26.0,16.0,9.0,2.0,63.0,768.0,705.0,0.918,2.38,3.0,4.9,1585.0,15.0,6.0,2,4000000.0
1142,Jacob Markstrom,2016,27.0,16.0,0.0,7.0,4.0,3.0,42.9,12.0,2.0,8.0,3.0,46.0,361.0,315.0,0.873,3.39,0.0,0.4,814.0,3.0,4.0,3,3666667.0
1150,Calvin Pickard,2016,24.0,16.0,0.0,13.0,4.0,9.0,69.2,13.0,6.0,7.0,3.0,35.0,511.0,476.0,0.932,2.35,0.0,4.1,895.0,9.0,1.0,2,1000000.0
1151,Darcy Kuemper,2016,26.0,29.33333333333333,0.0,9.666666666666666,4.0,5.666666666666667,49.46666666666667,27.0,13.333333333333334,10.666666666666666,2.6666666666666665,65.33333333333333,712.6666666666666,647.3333333333334,0.9083333333333332,2.543333333333333,2.6666666666666665,3.766666666666667,1539.3333333333333,14.0,6.0,1,1550000.0
1159,Anders Nilsson,2016,26.0,19.0,0.0,11.0,3.0,8.0,72.7,17.0,8.0,7.0,2.0,57.0,548.0,491.0,0.896,3.11,0.0,2.1,1101.0,6.0,4.0,1,1000000.0
1198,Anton Khudobin,2016,30.0,34.666666666666664,0.0,9.0,1.3333333333333333,7.666666666666667,88.86666666666667,32.666666666666664,11.666666666666666,16.0,4.333333333333333,84.66666666666667,941.3333333333334,856.6666666666666,0.9086666666666666,2.58,1.0,5.2,1974.6666666666667,18.0,6.666666666666667,2,1200000.0
1199,Jake Allen,2016,25.0,37.0,2.0,15.0,4.0,11.0,73.3,32.0,22.0,7.0,4.0,79.0,909.0,830.0,0.913,2.28,4.0,5.3,2077.0,17.0,6.0,4,4350000.0
1201,Carter Hutton,2016,30.0,25.33333333333333,0.3333333333333333,16.333333333333332,6.333333333333333,10.0,60.1,22.666666666666668,10.666666666666666,8.333333333333334,4.0,59.66666666666666,635.3333333333334,575.6666666666666,0.9046666666666666,2.6133333333333333,1.0,3.2,1368.3333333333333,9.0,4.666666666666667,2,1125000.0
1207,Jeff Zatkoff,2016,29.0,20.0,1.0,4.0,2.0,2.0,50.0,18.0,12.0,6.0,2.0,51.0,582.0,531.0,0.912,2.61,1.0,3.4,1171.0,9.0,3.0,2,900000.0
1209,Chad Johnson,2016,30.0,21.666666666666668,0.0,6.0,1.6666666666666667,4.333333333333333,66.66666666666667,19.0,11.0,6.666666666666667,1.6666666666666667,53.66666666666666,561.3333333333334,507.6666666666667,0.901,2.7533333333333334,0.6666666666666666,2.6666666666666665,1205.6666666666667,9.666666666666666,4.666666666666667,1,1700000.0
1216,Jonas Gustavsson,2016,31.0,27.0,0.0,22.0,6.0,16.0,72.7,26.0,16.0,5.0,4.0,68.0,735.0,667.0,0.907,2.63,0.0,3.9,1551.0,13.0,6.0,1,800000.0
1220,Al Montoya,2016,31.0,22.666666666666668,0.0,5.666666666666667,3.6666666666666665,2.0,18.166666666666668,16.0,8.333333333333334,7.333333333333333,2.333333333333333,52.333333333333336,547.6666666666666,495.3333333333333,0.9013333333333334,2.773333333333333,0.6666666666666666,2.6666666666666665,1165.0,8.333333333333334,2.333333333333333,1,950000.0
1222,James Reimer,2016,28.0,35.333333333333336,0.0,9.0,2.333333333333333,6.666666666666667,74.23333333333333,28.666666666666668,10.0,16.0,1.0,94.33333333333331,1032.0,937.6666666666666,0.9083333333333332,3.1933333333333334,0.3333333333333333,5.5,1773.0,14.0,7.333333333333333,5,3400000.0
1255,Michael Hutchinson,2016,26.0,26.33333333333333,0.0,10.333333333333334,1.3333333333333333,9.0,90.46666666666664,25.0,14.666666666666666,7.0,3.333333333333333,58.333333333333336,686.6666666666666,628.3333333333334,0.9236666666666666,2.1333333333333333,1.3333333333333333,4.133333333333333,1486.3333333333333,13.666666666666666,4.666666666666667,2,1150000.0
1256,Frederik Andersen,2016,26.0,45.333333333333336,2.333333333333333,22.666666666666668,7.333333333333333,15.333333333333334,77.06666666666666,43.333333333333336,30.0,9.666666666666666,3.333333333333333,102.0,1218.3333333333333,1116.3333333333333,0.917,2.35,2.0,7.599999999999999,2593.6666666666665,25.33333333333333,6.0,5,5000000.0
1259,Cam Ward,2016,32.0,44.0,0.3333333333333333,18.666666666666668,5.666666666666667,13.0,68.03333333333333,42.66666666666666,18.0,20.0,5.333333333333333,108.66666666666669,1175.3333333333333,1066.6666666666667,0.906,2.62,0.6666666666666666,6.066666666666667,2565.6666666666665,21.0,6.666666666666667,2,3300000.0
1272,Antti Raanta,2016,26.0,17.666666666666668,0.3333333333333333,7.0,3.6666666666666665,3.333333333333333,39.96666666666666,15.333333333333334,9.0,4.333333333333333,2.0,37.66666666666666,462.6666666666667,425.0,0.923,2.1633333333333336,1.6666666666666667,3.0,993.6666666666666,9.333333333333334,2.6666666666666665,2,1000000.0
