Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2012,Matt Cullen,36,MIN,C,42,7,20,27,9,10,3.1,7,0,0,0,16,4,0,79,8.9,667,15:53:00,18,18,245,203,54.7,464,500,48.1,-4.4,347,377,47.9,-5.9,12.6,91.8,104.4,43.4,56.6,15:53:00,12:31:00,14,24,140,56.4,3,3,0,100.0
2012,Mark Cundari,22,CGY,D,4,1,2,3,-2,2,0.4,0,1,0,0,1,1,0,8,12.5,79,19:46:00,4,15,0,0,,56,58,49.1,,40,49,44.9,,6.7,88.9,95.6,48.5,51.5,19:46:00,17:12:00,1,4,17,47.1,0,0,0,0.0
2012,Matt D'Agostini,26,TOT,RW,29,3,3,6,-5,8,0.3,3,0,0,0,2,1,0,33,9.1,357,12:19:00,12,21,5,13,27.8,263,221,54.3,0.9,180,145,55.4,-0.2,6.7,89,95.7,56.4,43.6,12:19:00,11:14:00,6,6,64,51.6,0,0,0,0.0
2012,Matt D'Agostini,26,STL,RW,16,1,1,2,-4,2,-0.1,1,0,0,0,1,0,0,19,5.3,190,11:52:00,8,11,4,10,28.6,263,221,54.3,0.9,180,145,55.4,-0.2,6.7,89,95.7,56.4,43.6,12:19:00,11:14:00,6,6,64,51.6,0,0,0,0.0
2012,Matt D'Agostini,26,NJD,RW,13,2,2,4,-1,6,0.4,2,0,0,0,1,1,0,14,14.3,167,12:51:00,4,10,1,3,25,263,221,54.3,0.9,180,145,55.4,-0.2,6.7,89,95.7,56.4,43.6,12:19:00,11:14:00,6,6,64,51.6,0,0,0,0.0
2012,Stephane Da Costa,23,OTT,RW,9,1,1,2,-3,0,0,1,0,0,0,0,1,0,15,6.7,107,11:52:00,1,8,39,25,60.9,96,79,54.9,1.6,69,58,54.3,5,0,91.3,91.3,75,25,11:52:00,09:37:00,1,4,35,42.9,0,0,0,0.0
2012,Trevor Daley,29,DAL,D,44,4,9,13,1,14,2.7,2,2,0,0,7,1,1,58,6.9,942,21:25:00,69,27,0,0,,648,735,46.9,-2,449,537,45.5,-2.3,11.4,91.8,103.1,49.9,50.1,21:25:00,16:37:00,10,20,147,39.5,0,0,0,0.0
2012,Zac Dalpe,23,CAR,C,10,1,2,3,-7,0,-0.1,1,0,0,0,2,0,0,18,5.6,123,12:18:00,4,14,1,2,33.3,156,122,56.1,6.4,123,95,56.4,7.5,4.3,85.3,89.6,62.5,37.5,12:18:00,11:15:00,4,0,37,48.6,0,0,0,0.0
2012,Pavel Datsyuk,34,DET,C,47,15,34,49,21,14,6.5,7,8,0,6,23,8,3,107,14,949,20:11:00,30,31,488,399,55,719,524,57.8,6.4,519,389,57.2,5.2,10.2,94.3,104.5,55,45,20:11:00,15:11:00,56,38,217,49.3,7,2,5,28.6
2012,Kaspars Daugavins,24,TOT,LW,25,1,3,4,-8,9,-0.2,1,0,0,0,2,1,0,36,2.8,275,11:01:00,10,23,9,9,50,235,208,53,2.9,176,161,52.2,4.4,3.9,89,92.9,48,52,11:01:00,09:13:00,13,10,55,65.5,3,1,2,33.3
2012,Kaspars Daugavins,24,OTT,LW,19,1,2,3,-7,9,-0.2,1,0,0,0,1,1,0,23,4.3,217,11:26:00,8,18,9,9,50,235,208,53,2.9,176,161,52.2,4.4,3.9,89,92.9,48,52,11:01:00,09:13:00,13,10,55,65.5,3,1,2,33.3
2012,Kaspars Daugavins,24,BOS,LW,6,0,1,1,-1,0,0,0,0,0,0,1,0,0,13,0,58,09:43:00,2,5,0,0,,235,208,53,2.9,176,161,52.2,4.4,3.9,89,92.9,48,52,11:01:00,09:13:00,13,10,55,65.5,3,1,2,33.3
2012,Danny DeKeyser,22,DET,D,11,0,1,1,4,2,0.7,0,0,0,0,1,0,0,15,0,199,18:03:00,9,9,0,0,,168,131,56.2,-1.7,131,102,56.2,-1.4,4.8,98.7,103.5,58.6,41.4,18:03:00,15:38:00,5,6,27,55.6,0,0,0,0.0
2012,Michael Del Zotto,22,NYR,D,46,3,18,21,6,18,4.2,2,0,1,0,10,8,0,81,3.7,1066,23:10:00,64,77,0,0,,833,870,48.9,-4.7,613,608,50.2,-5.3,8,94.1,102.1,58.7,41.3,23:10:00,18:42:00,10,26,186,43.5,0,0,0,0.0
2012,Jason Demers,24,SJS,D,22,1,2,3,-4,10,0.7,1,0,0,0,2,0,0,27,3.7,410,18:38:00,24,32,0,0,,327,340,49,-2.4,239,247,49.2,-4.1,3.8,94.3,98.1,51.3,48.7,18:38:00,16:01:00,6,12,69,39.1,0,0,0,0.0
2012,David Desharnais,26,MTL,C,48,10,18,28,-2,26,2.6,8,2,0,3,13,5,0,66,15.2,790,16:28:00,18,26,382,382,50,703,520,57.5,5.6,506,366,58,6.6,8.7,87.3,96,62.6,37.4,16:28:00,13:26:00,23,15,105,62.9,4,2,2,50.0
2012,Andrew Desjardins,26,SJS,C,42,2,1,3,-6,61,-0.3,2,0,0,0,1,0,0,51,3.9,425,10:07:00,27,53,39,33,54.2,340,365,48.2,-1.5,244,251,49.3,-2.6,3.8,94.1,97.9,44.7,55.3,10:07:00,08:57:00,5,11,86,58.1,0,0,0,0.0
2012,Simon Despres,21,PIT,D,33,2,5,7,9,20,1.9,2,0,0,0,4,1,0,33,6.1,499,15:07:00,31,48,0,0,,414,368,52.9,3.4,301,273,52.4,0.3,9.4,93.4,102.8,52.7,47.3,15:07:00,13:53:00,4,16,62,53.2,0,0,0,0.0
2012,Raphael Diaz,27,MTL,D,23,1,13,14,4,6,2.3,1,0,0,0,5,8,0,34,2.9,473,20:33:00,44,11,0,0,,304,332,47.8,-6.2,227,230,49.7,-3.7,7.4,94.8,102.2,45.1,54.9,20:33:00,14:53:00,6,17,73,46.6,0,0,0,0.0
2012,Brenden Dillon,22,DAL,D,48,3,5,8,1,65,2.1,3,0,0,1,5,0,0,75,4,1026,21:23:00,74,133,0,0,,822,807,50.5,2.7,600,600,50,3.6,8.6,91.7,100.3,42.5,57.5,21:23:00,18:24:00,8,20,161,46.6,0,0,0,0.0
