,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
62,Anders Bjork,2019,23,BOS,LW,58,9,10,19,5,10,1.8,8,1,0,0,10,0,0,66,13.6,750,12:56:00,21,43,2,4,33.3,583,599,49.3,-1.7,452,451,50.1,-0.6,7.6,93.4,100.9,54.5,45.5,12:56:00,12:04:00,21,14,134,49.3,0.0,0.0,0.0,0.0
63,Oliver Bjorkstrand,2019,24,CBJ,RW,49,21,15,36,8,12,4.9,18,3,0,5,12,3,0,162,13.0,879,17:56:00,16,43,6,13,31.6,776,647,54.5,5.1,595,468,56.0,5.0,9.1,91.9,101.0,55.8,44.2,17:56:00,15:17:00,32,27,277,58.5,2.0,0.0,2.0,0.0
64,Tobias Bjornfot,2019,18,LAK,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,0,0.0,39,12:58:00,0,0,0,0,0.0,22,38,36.7,-19.6,15,29,34.1,-25.2,0.0,78.9,78.9,37.9,62.1,12:58:00,11:59:00,0,0,0,0.0,0.0,0.0,0.0,0.0
65,Nick Bjugstad,2019,27,PIT,C,13,1,1,2,3,8,0.2,1,0,0,0,1,0,0,18,5.6,159,12:14:00,7,19,38,58,39.6,128,125,50.6,-5.8,98,85,53.6,-3.4,6.9,93.7,100.6,46.6,53.4,12:14:00,10:35:00,3,5,39,46.2,0.0,0.0,0.0,0.0
66,Colin Blackwell,2019,26,NSH,C,27,3,7,10,7,10,1.1,3,0,0,0,7,0,0,31,9.7,296,10:57:00,23,43,37,29,56.1,279,272,50.6,-0.2,212,185,53.4,2.7,11.2,92.4,103.6,46.5,53.5,10:57:00,10:50:00,6,7,53,58.5,0.0,0.0,0.0,0.0
67,Sammy Blais,2019,23,STL,LW,40,6,7,13,-2,20,1.0,6,0,0,1,7,0,0,56,10.7,503,12:35:00,15,155,0,0,0.0,395,399,49.7,-1.0,307,304,50.2,-0.7,7.4,92.0,99.4,48.3,51.7,12:35:00,11:38:00,12,18,86,65.1,0.0,0.0,0.0,0.0
68,Joseph Blandisi,2019,25,PIT,C,21,2,3,5,-3,10,0.3,2,0,0,1,3,0,0,12,16.7,172,08:13:00,9,26,33,48,40.7,103,147,41.2,-10.0,76,112,40.4,-11.5,11.3,88.5,99.8,36.8,63.2,08:13:00,08:07:00,8,1,21,57.1,0.0,0.0,0.0,0.0
69,Joachim Blichfeld,2019,21,SJS,W,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,38,12:46:00,4,3,0,0,0.0,21,37,36.2,-11.3,17,24,41.5,-6.0,0.0,87.5,87.5,34.8,65.2,12:46:00,12:32:00,2,0,6,50.0,0.0,0.0,0.0,0.0
70,Anton Blidh,2019,24,BOS,LW,7,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,9,0.0,81,11:31:00,5,20,0,1,0.0,44,46,48.9,-6.2,34,38,47.2,-8.0,12.0,91.3,103.3,35.9,64.1,11:31:00,10:07:00,2,1,13,69.2,0.0,0.0,0.0,0.0
71,Teddy Blueger,2019,25,PIT,C,69,9,13,22,2,25,1.4,9,0,0,2,11,0,2,102,8.8,1091,15:49:00,35,83,402,489,45.1,753,740,50.4,-0.7,551,563,49.5,-2.7,7.1,92.4,99.5,30.2,69.8,15:49:00,13:17:00,29,22,157,65.0,1.0,1.0,0.0,100.0
