Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2015,Cody Bass,29,NSH,C,17,0,0,0,-1,17,-0.3,0,0,0,0,0,0,0,11,0,130,07:40:00,8,26,12,9,57.1,72,115,38.5,-17,62,78,44.3,-12,4.3,94.2,98.6,5.5,94.5,07:40:00,07:27:00,2,0,0,16,68.8,0,0,0,0.0
2015,Kyle Baun,23,CHI,RW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,18,09:03:00,0,3,0,0,,13,19,40.6,-17,10,18,35.7,-19.9,0,85.7,85.7,80,20,09:03:00,09:03:00,0,0,-0.9,1,100,0,0,0,0.0
2015,Jay Beagle,30,WSH,RW,57,8,9,17,0,24,1.4,8,0,0,1,9,0,0,74,10.8,799,14:01:00,24,55,370,267,58.1,591,622,48.7,-2.9,443,450,49.6,-2.3,6.2,94,100.2,41.5,58.5,14:01:00,11:58:00,20,12,0.7,122,59.8,0,0,0,0.0
2015,Francois Beauchemin,35,COL,D,82,8,26,34,-7,38,6,6,2,0,2,15,9,2,127,6.3,2057,1900-01-01 01:05:00,256,78,0,0,,1313,1714,43.4,-1.9,1013,1172,46.4,1.2,7.6,92.1,99.8,42.3,57.7,1900-01-01 01:05:00,19:26:00,31,41,-10.7,264,48.1,0,0,0,0.0
2015,Nathan Beaulieu,23,MTL,D,64,2,17,19,-6,55,2.8,1,1,0,0,15,2,0,74,2.7,1117,17:27:00,89,59,0,0,,946,902,51.2,-0.7,670,662,50.3,-1.5,7.4,91.1,98.5,49.1,50.9,17:27:00,15:43:00,17,48,0.6,144,51.4,0,0,0,0.0
2015,Taylor Beck,24,NYI,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,17,08:29:00,0,6,0,0,,10,16,38.5,-15,7,12,36.8,-18.5,0,100,100,66.7,33.3,08:29:00,08:29:00,0,0,-0.5,3,0,0,0,0,0.0
2015,Matt Beleskey,27,BOS,LW,80,15,22,37,6,65,3.9,12,3,0,1,18,4,0,168,8.9,1269,15:51:00,44,260,6,19,24,1138,1102,50.8,1.8,841,842,50,0.4,8.7,92.4,101.1,54.2,45.8,15:52:00,14:33:00,27,26,-0.3,363,46.6,0,0,0,0.0
2015,Pierre-Edouard Bellemare,30,PHI,LW,74,7,7,14,-8,27,0.4,6,0,1,1,6,0,1,102,6.9,1004,13:34:00,61,65,272,307,47,709,830,46.1,-5.7,515,592,46.5,-5.3,5.5,93.4,98.9,49.3,50.7,13:34:00,10:55:00,37,23,-8.2,199,51.3,0,0,0,0.0
2015,Jamie Benn,26,DAL,LW,82,41,48,89,7,64,12.1,22,17,2,5,32,13,3,247,16.6,1642,20:01:00,55,156,226,252,47.3,1352,1194,53.1,1.2,976,880,52.6,0.4,10.4,89.5,99.9,53.7,46.3,20:01:00,15:10:00,65,80,8.5,431,57.3,3,1,2,33.3
2015,Jordie Benn,28,DAL,D,64,3,9,12,2,21,2.2,2,1,0,2,8,0,1,58,5.2,1001,15:39:00,94,90,0,0,,788,828,48.8,-4.6,589,599,49.6,-2.8,8.7,91.3,100,54.6,45.4,15:39:00,13:23:00,12,39,0,123,47.2,1,0,1,0.0
